,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"15,374,000","14,748,000","14,270,000","14,241,000"
2,Cost of Revenue,"9,001,000","8,207,000","7,693,000","7,786,000"
3,Gross Profit,"6,373,000","6,541,000","6,577,000","6,455,000"
4,Operating Expenses,,,,
5,Research Development,"441,000","453,000","459,000","466,000"
6,Selling General and Administrative,"3,566,000","3,563,000","3,612,000","3,584,000"
7,Non Recurring,-,-,-,-
8,Others,"107,000","79,000","117,000","117,000"
9,Total Operating Expenses,"13,512,000","12,684,000","12,180,000","12,282,000"
10,Operating Income or Loss,"1,862,000","2,064,000","2,090,000","1,959,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-169,000","-59,000","-1,311,000","-214,000"
13,Earnings Before Interest and Taxes,"1,862,000","2,064,000","2,090,000","1,959,000"
14,Interest Expense,"-118,000","-105,000","-125,000","-125,000"
15,Income Before Tax,"1,693,000","2,005,000","779,000","1,745,000"
16,Income Tax Expense,"353,000","615,000","214,000","413,000"
17,Minority Interest,-,"115,000","87,000","86,000"
18,Net Income From Continuing Ops,"1,340,000","1,390,000","565,000","1,332,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"18,000","225,000","330,000","95,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,341,000","1,594,000","873,000","1,406,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,341,000","1,594,000","873,000","1,406,000"
