,0,1,2,3,4
0,Revenue,12/30/2017,12/31/2016,1/2/2016,1/3/2015
1,Total Revenue,"6,471,410","6,028,199","5,731,549","5,324,746"
2,Cost of Revenue,"3,913,353","3,712,772","3,532,358","3,347,214"
3,Gross Profit,"2,558,057","2,315,427","2,199,191","1,977,532"
4,Operating Expenses,,,,
5,Research Development,"65,457","70,096","62,324","63,268"
6,Selling General and Administrative,"1,557,716","1,339,735","1,261,762","1,142,959"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"5,543,168","5,126,253","4,861,100","4,560,671"
10,Operating Income or Loss,"928,242","901,946","870,449","764,075"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-390,972","-330,747","-396,576","-299,107"
13,Earnings Before Interest and Taxes,"928,242","901,946","870,449","764,075"
14,Interest Expense,"-174,435","-152,692","-118,035","-96,387"
15,Income Before Tax,"537,270","571,199","473,873","464,968"
16,Income Tax Expense,"473,279","34,272","45,018","60,449"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"63,991","536,927","428,855","404,519"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-2,097","2,455","2,455","2,455"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"61,894","539,382","428,855","404,519"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"61,894","539,382","428,855","404,519"
