,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,261,000","13,627,000","14,156,000","14,610,000"
2,Cost of Revenue,"3,497,000","4,495,000","5,400,000","6,034,000"
3,Gross Profit,"7,764,000","9,132,000","8,756,000","8,576,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"144,000","129,000","108,000","242,000"
7,Non Recurring,-,-,-,-
8,Others,"4,126,000","5,275,000","4,856,000","4,718,000"
9,Total Operating Expenses,"8,903,000","8,588,000","8,711,000","12,276,000"
10,Operating Income or Loss,"2,358,000","2,340,000","1,989,000","2,334,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-846,000","-3,327,000","-11,622,000","-1,441,000"
13,Earnings Before Interest and Taxes,"2,358,000","2,340,000","1,989,000","2,334,000"
14,Interest Expense,"-1,116,000","-1,134,000","-1,091,000","-1,064,000"
15,Income Before Tax,"1,512,000","-829,000","-9,232,000","893,000"
16,Income Tax Expense,"490,000","895,000","-3,055,000","315,000"
17,Minority Interest,-,-,-,"1,000"
18,Net Income From Continuing Ops,"1,022,000","-1,724,000","-6,177,000","578,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"326,000","326,000","326,000","326,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,348,000","-1,724,000","-6,177,000","578,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,348,000","-1,724,000","-6,177,000","578,000"
