,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"16,403,000","15,567,000","15,248,000","15,034,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"16,403,000","15,567,000","15,248,000","15,034,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"9,399,000","9,093,000","8,726,000","8,841,000"
7,Non Recurring,-,-,-,-
8,Others,"1,632,000","1,655,000","1,560,000","1,612,000"
9,Total Operating Expenses,"11,031,000","10,748,000","10,286,000","10,453,000"
10,Operating Income or Loss,"5,372,000","4,819,000","4,962,000","4,581,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-180,000","-209,000","-237,000","-346,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"5,192,000","4,610,000","4,725,000","4,235,000"
16,Income Tax Expense,"938,000","496,000","1,177,000","1,013,000"
17,Minority Interest,"230,000","495,000","769,000","938,000"
18,Net Income From Continuing Ops,"4,254,000","4,114,000","3,548,000","3,222,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,266,000","4,090,000","3,547,000","3,158,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,070,000","3,872,000","3,373,000","3,010,000"
