,0,1,2,3,4
0,Revenue,10/29/2017,10/30/2016,11/1/2015,11/2/2014
1,Total Revenue,"17,636,000","13,240,000","6,824,000","4,269,000"
2,Cost of Revenue,"6,592,000","5,294,000","2,747,000","1,904,000"
3,Gross Profit,"11,044,000","7,946,000","4,077,000","2,365,000"
4,Operating Expenses,,,,
5,Research Development,"3,292,000","2,674,000","1,049,000","695,000"
6,Selling General and Administrative,"690,000","668,000","415,000","340,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"14,849,000","11,272,000","4,944,000","3,385,000"
10,Operating Income or Loss,"2,787,000","1,968,000","1,880,000","884,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-962,000","-3,075,000","-413,000","-542,000"
13,Earnings Before Interest and Taxes,"2,787,000","1,968,000","1,880,000","884,000"
14,Interest Expense,"-454,000","-585,000","-191,000","-110,000"
15,Income Before Tax,"1,825,000","-1,107,000","1,467,000","342,000"
16,Income Tax Expense,"35,000","642,000","76,000","33,000"
17,Minority Interest,"2,901,000","2,984,000","2,984,000","2,984,000"
18,Net Income From Continuing Ops,"1,790,000","-1,749,000","1,391,000","309,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"-6,000","-112,000","-27,000","-46,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,692,000","-1,739,000","1,364,000","263,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,692,000","-1,739,000","1,364,000","263,000"
