,0,1,2,3,4
0,Revenue,5/31/2018,5/31/2017,5/31/2016,5/31/2015
1,Total Revenue,"3,380,900","3,151,300","2,951,900","2,739,600"
2,Cost of Revenue,"1,017,800","919,600","857,100","808,000"
3,Gross Profit,"2,363,100","2,231,700","2,094,800","1,931,600"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,075,600","992,100","948,200","878,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,093,400","1,911,700","1,805,300","1,686,000"
10,Operating Income or Loss,"1,287,500","1,239,600","1,146,600","1,053,600"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"8,600","5,200","4,500","6,400"
13,Earnings Before Interest and Taxes,"1,287,500","1,239,600","1,146,600","1,053,600"
14,Interest Expense,"-3,900","-2,500","-1,100",-700
15,Income Before Tax,"1,296,100","1,244,800","1,151,100","1,060,000"
16,Income Tax Expense,"362,400","427,500","394,300","385,100"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"933,700","817,300","756,800","674,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"933,700","817,300","756,800","674,900"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"933,700","817,300","756,800","674,900"
