,0,1,2,3,4
0,Revenue,2/3/2018,1/28/2017,1/30/2016,1/31/2015
1,Total Revenue,"6,511,100","6,690,900","6,802,800","5,954,200"
2,Cost of Revenue,"4,063,000","4,047,600","4,109,800","3,662,100"
3,Gross Profit,"2,448,100","2,643,300","2,693,000","2,292,100"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,860,200","1,851,800","1,908,700","1,712,900"
7,Non Recurring,-,-,-,-
8,Others,"5,700","6,200","1,700","2,600"
9,Total Operating Expenses,"5,928,900","5,905,600","6,020,200","5,377,600"
10,Operating Income or Loss,"582,200","785,300","782,600","576,600"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-55,000","-71,500","-124,800","-36,000"
13,Earnings Before Interest and Taxes,"582,200","785,300","782,600","576,600"
14,Interest Expense,"-52,700","-49,400","-45,900","-36,000"
15,Income Before Tax,"527,200","713,800","657,800","540,600"
16,Income Tax Expense,"7,900","170,600","189,900","159,300"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"519,300","543,200","467,900","381,300"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"519,300","543,200","467,900","381,300"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"486,400","531,300","467,900","381,300"
