,0,1,2,3,4
0,Revenue,10/31/2017,10/31/2016,10/31/2015,10/31/2014
1,Total Revenue,"33,933,000","31,985,000","29,743,000","28,404,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"33,933,000","31,985,000","29,743,000","28,404,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"14,695,000","14,042,000","13,414,000","12,557,000"
7,Non Recurring,-,-,-,-
8,Others,"6,211,000","6,607,000","5,811,000","6,145,000"
9,Total Operating Expenses,"20,906,000","20,649,000","19,225,000","18,702,000"
10,Operating Income or Loss,"13,027,000","11,336,000","10,518,000","9,702,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-257,000","-257,000","-971,000","-307,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"12,770,000","11,079,000","9,547,000","9,395,000"
16,Income Tax Expense,"2,253,000","2,143,000","1,523,000","1,512,000"
17,Minority Interest,"983,000","1,650,000","1,610,000","1,549,000"
18,Net Income From Continuing Ops,"10,517,000","8,936,000","8,024,000","7,883,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"10,396,000","8,821,000","7,912,000","7,776,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"10,203,000","8,680,000","7,813,000","7,633,000"
