,assoc,values
0,they sell,"peninsula asset management inc sold 12,340 shares company stock rose 17.60 market ."
1,they buy,stock increased 0.77 0.32 last trading session reaching 42.01 .
2,they sell,"grace white inc sold 8,600 shares company stock rose 3.37 market ."
3,they buy,stock increased 0.23 0.11 last trading session reaching 46.98 .
4,they sell,fall 42 investors sold leg shares 129 reduced holdings .
5,they buy,peninsula asset management inc invested 0.76 portfolio leggett platt incorporated nyse leg .
6,they buy,"pggm investments owns 0.06 invested leggett platt incorporated nyse leg 290,805 shares ."
7,they buy,johnson finance group invested 0 leggett platt incorporated nyse leg .
8,they buy,tennessee-based ftb advsr invested 0 leggett platt incorporated nyse leg .
9,they sell,one analyst rated stock sell rating two assigned hold rating three assigned buy rating company .
10,they sell,zacks investment research downgraded leggett platt hold rating sell rating research note thursday february 7th .
11,they buy,finally gabelli downgraded leggett platt buy rating hold rating research note wednesday february 6th .
12,they sell,"related news director joseph w. mcclanathan sold 10,143 shares company stock transaction occurred thursday february 14th ."
13,they sell,"stock sold average price 43.83 total value 444,567.69 ."
14,they sell,"also svp scott s. douglas sold 18,450 shares company stock transaction occurred wednesday february 20th ."
15,they sell,"shares sold average price 45.22 total value 834,309.00 ."
16,they sell,"last quarter insiders sold 44,635 shares company stock worth 2,012,477 ."
17,they sell,zacks investment research downgraded leggett platt hold rating sell rating research note thursday february 7th .
18,they buy,finally gabelli downgraded leggett platt buy rating hold rating research note wednesday february 6th .
19,they sell,one investment analyst rated stock sell rating two issued hold rating three issued buy rating stock .
20,they sell,educoin achieves market cap 0.00 edu bidaskscore decreased leggett plattorporated nyse leg stock rating sell research note released thursday morning .
21,they buy,notable recent osi systems inc. nasdaq osis news published nasdaq.com released osi systems osis reports next week wall street expects earnings growth nasdaq april 23 2019 also streetinsider.com article osi systems osis receives 10 million order rtt hold baggage screening systems streetinsider.com published april 08 2019 nasdaq.com published new strong buy stocks march 26th nasdaq march 26 2019. interesting news osi systems inc. nasdaq osis released nasdaq.com article osis vs. oled stock better value option nasdaq published february 07 2019 well nasdaq.com news article titled osi systems raises fy19 guidance quick facts nasdaq publication date january 24 2019 .
22,they sell,shares 2.88 million sold edrick alan .
23,they sell,"3,500 osi systems inc. nasdaq osis shares value 304,500 sold good steven c. sze victor sold 20,000 shares worth 1.73m ."
24,they sell,"2.42m worth osi systems inc. nasdaq osis sold mehra ajay monday february 4. another trade 552 shares valued 39,494 made maginnis malcolm peter tuesday november 20 ."
25,they sell,"3,800 osi systems inc. nasdaq osis shares value 278,426 sold chopra deepak ."
26,they sell,"675 shares valued 60,170 sold ballhaus william francis jr monday february 4 ."
27,they sell,"10,143 shares sold mcclanathan joseph w worth 444,544 thursday february 14 ."
28,they buy,average analysts currently moderate buy recommendation mean rating 4.00. comparison average recommendation month ago moderate buy average rating 4.00. similarly average rating observed 2 months ago moderate buy mean numerical rating 4.00 average rating observed 3 months ago moderate buy mean numerical rating 4.40 .
