,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"14,198,000","12,491,000","11,155,000","11,401,000"
2,Cost of Revenue,"6,993,000","5,648,000","5,109,000","5,229,000"
3,Gross Profit,"7,205,000","6,843,000","6,046,000","6,172,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,573,000","1,460,000","1,301,000","1,380,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"8,616,000","7,197,000","6,509,000","6,737,000"
10,Operating Income or Loss,"5,582,000","5,294,000","4,646,000","4,664,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-204,000","-17,000","-186,000","-62,000"
13,Earnings Before Interest and Taxes,"5,582,000","5,294,000","4,646,000","4,664,000"
14,Interest Expense,"-184,000","-205,000","-205,000","-204,000"
15,Income Before Tax,"5,378,000","5,277,000","4,460,000","4,602,000"
16,Income Tax Expense,"1,076,000","270,000","1,290,000","1,250,000"
17,Minority Interest,-,"466,000","246,000","541,000"
18,Net Income From Continuing Ops,"4,302,000","5,007,000","3,170,000","3,352,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"4,305,000","4,970,000","3,172,000","3,345,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"4,305,000","4,970,000","3,172,000","3,345,000"
