,assoc,values
0,they buy,douglass winthrop advisors llc increased stake mettler mtd 7.62 based latest 2018q4 regulatory filing sec .
1,they buy,"douglass winthrop advisors llc bought 2,781 shares company stock rose 10.82 market ."
2,they buy,stock increased 1.23 9.23 last trading session reaching 762.43 .
3,they buy,3.73 thomson horstmann bryant inc increased stake vishay precision vpg 5.96 based latest 2018q4 regulatory filing sec .
4,they buy,"thomson horstmann bryant inc bought 13,903 shares company stock rose 2.29 market ."
5,they buy,stock increased 2.62 0.98 last trading session reaching 38.44 .
6,they buy,historical vpg news 28/03/2018 vishay precision presenting conference tomorrow 01/05/2018 blh nobel introduces 1756 weighing module integration allen-bradley® chassis 08/05/2018 vishay precision group inc operating margin quarter 11.2 compared 6.6 prior year period 17/05/2018 vishay precision b. riley fbr investor conference may 24 08/05/2018 vishay precision sees 2q rev 71m- 77m 24/05/2018 vishay recognizes digi-key 2017 passives catalog distributor year 08/05/2018 vishay precision 1q eps 37c 16/04/2018 investor expectations drive momentum within netapp bed bath beyond vishay intertechnology polaris industries finis 22/03/2018 vishay precision group inc. announces participation sidoti company spring 2018 conference 12/04/2018 vishay asia honored siemens 2017 sewc best cooperation supplier award investors sentiment increased 1.4 2018 q4 .
7,they sell,improved 11 investors sold vpg shares 34 reduced holdings .
8,they buy,massachusetts-based winslow evans crocker invested 0 vishay precision group inc. nyse vpg .
9,they buy,acadian asset mgmt lc invested 0.03 portfolio vishay precision group inc. nyse vpg .
10,they buy,"systematic finance ltd partnership invested 0.03 37,205 shares ."
11,they buy,investors sentiment increased 1.14 2018 q4 .
12,they sell,positive 21 investors sold mtd shares 146 reduced holdings .
13,they buy,moreover clearbridge llc 0.02 invested mettler-toledo international inc. nyse mtd 136 shares .
14,they buy,lord abbett communications invested 0.03 portfolio mettler-toledo international inc. nyse mtd .
15,they buy,bluecrest capital ltd invested 899 shares .
16,they buy,balyasny asset mngmt limited liability invested 0.01 mettler-toledo international inc. nyse mtd .
17,they buy,texas permanent school fund invested 0.05 portfolio mettler-toledo international inc. nyse mtd .
18,they buy,"zurcher kantonalbank zurich cantonalbank invested 0.03 5,843 shares ."
19,they sell,number institutional investors also bought sold shares business .
20,they sell,"related news insider christian magloth sold 1,500 shares firm stock transaction dated wednesday february 13th ."
21,they sell,"stock sold average price 666.91 total transaction 1,000,365.00 ."
22,they sell,"also ceo oliver a. filliol sold 17,000 shares firm stock transaction dated tuesday february 12th ."
