,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"5,716,875","5,647,224","5,996,458","5,995,402"
2,Cost of Revenue,"3,651,853","3,728,552","3,879,240","3,772,841"
3,Gross Profit,"2,065,022","1,918,672","2,117,218","2,222,561"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,258,098","1,027,409","1,050,082","1,040,266"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,909,951","4,755,961","4,929,322","4,813,107"
10,Operating Income or Loss,"806,924","891,263","1,067,136","1,182,295"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-120,295","-27,424","-43,225","-32,132"
13,Earnings Before Interest and Taxes,"806,924","891,263","1,067,136","1,182,295"
14,Interest Expense,"-30,884","-31,004","-29,670","-12,117"
15,Income Before Tax,"686,629","863,839","1,023,911","1,150,163"
16,Income Tax Expense,"155,178","342,080","331,747","397,956"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"531,451","521,759","692,164","752,207"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"531,451","521,759","692,164","752,207"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"531,451","521,759","692,164","752,207"
