,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,957,900","11,276,400","13,731,100","17,062,700"
2,Cost of Revenue,"3,246,100","2,973,600","3,499,400","3,766,300"
3,Gross Profit,"8,711,800","8,302,800","10,231,700","13,296,400"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"2,031,000","1,962,200","2,479,900","2,928,800"
7,Non Recurring,-,-,-,-
8,Others,"1,712,800","1,654,800","1,921,400","2,483,100"
9,Total Operating Expenses,"10,852,500","10,385,900","12,021,800","14,790,700"
10,Operating Income or Loss,"1,105,400","890,500","1,709,300","2,272,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-943,600","-3,001,600","-1,466,000","-3,048,900"
13,Earnings Before Interest and Taxes,"1,105,400","890,500","1,709,300","2,272,000"
14,Interest Expense,"-1,478,700","-1,416,100","-1,866,100","-2,284,100"
15,Income Before Tax,"161,800","-2,111,100","243,300","-776,900"
16,Income Tax Expense,"1,573,300","238,900","-1,407,000","324,300"
17,Minority Interest,"-533,100","-412,000","970,700","-478,100"
18,Net Income From Continuing Ops,"-1,411,500","-2,350,000","1,650,300","-1,101,200"
19,Non-recurring Events,,,,
20,Discontinued Operations,"2,261,500","-370,600","117,000","51,700"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"725,300","-2,778,100","1,705,300","-1,152,500"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"725,300","-2,778,100","1,705,300","-1,152,500"
