,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"28,902,000","27,499,000","26,815,000","27,174,000"
2,Cost of Revenue,"21,633,000","19,055,000","17,608,000","17,752,000"
3,Gross Profit,"7,269,000","8,444,000","9,207,000","9,422,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"4,170,000","4,154,000","4,094,000","3,964,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"25,803,000","23,209,000","21,702,000","21,716,000"
10,Operating Income or Loss,"3,099,000","4,290,000","5,113,000","5,458,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-369,000","-237,000","-373,000","-369,000"
13,Earnings Before Interest and Taxes,"3,099,000","4,290,000","5,113,000","5,458,000"
14,Interest Expense,"-369,000","-363,000","-373,000","-369,000"
15,Income Before Tax,"2,730,000","4,053,000","4,740,000","5,089,000"
16,Income Tax Expense,"674,000","1,039,000","1,301,000","1,397,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,056,000","3,014,000","3,439,000","3,692,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,056,000","3,014,000","3,439,000","3,692,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,041,000","2,992,000","3,414,000","3,665,000"
