,0,1,2,3,4
0,Revenue,9/29/2017,9/30/2016,10/2/2015,10/3/2014
1,Total Revenue,"3,651,400","3,289,000","3,258,400","2,291,500"
2,Cost of Revenue,"1,809,600","1,623,800","1,703,900","1,268,800"
3,Gross Profit,"1,841,800","1,665,200","1,554,500","1,022,700"
4,Operating Expenses,,,,
5,Research Development,"355,200","312,400","303,200","252,200"
6,Selling General and Administrative,"205,900","195,900","191,300","179,100"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,398,300","2,165,500","2,231,900","1,726,000"
10,Operating Income or Loss,"1,253,100","1,123,500","1,026,500","565,500"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"3,900","77,100","-2,900",-300
13,Earnings Before Interest and Taxes,"1,253,100","1,123,500","1,026,500","565,500"
14,Interest Expense,-,-,-,-
15,Income Before Tax,"1,257,000","1,200,600","1,023,600","565,200"
16,Income Tax Expense,"246,800","205,400","225,300","107,500"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,010,200","995,200","798,300","457,700"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,010,200","995,200","798,300","457,700"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,010,200","995,200","798,300","457,700"
