,0,1,2,3,4
0,Revenue,11/30/2018,11/30/2017,11/30/2016,11/30/2015
1,Total Revenue,"4,009,200","3,599,700","2,734,800","2,184,300"
2,Cost of Revenue,"1,490,100","1,355,300","1,047,700","823,700"
3,Gross Profit,"2,519,100","2,244,400","1,687,100","1,360,600"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,192,800","1,096,000","907,100","795,300"
7,Non Recurring,-,-,-,-
8,Others,"1,700","18,700",-100,"-3,400"
9,Total Operating Expenses,"3,225,800","2,962,500","2,290,400","1,830,700"
10,Operating Income or Loss,"783,400","637,200","444,400","353,600"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-359,600","-270,100","-306,600","-115,800"
13,Earnings Before Interest and Taxes,"783,400","637,200","444,400","353,600"
14,Interest Expense,"-225,700","-154,300","-119,400","-70,900"
15,Income Before Tax,"423,800","367,100","137,800","237,800"
16,Income Tax Expense,"-115,400","-49,900","-5,100","48,900"
17,Minority Interest,"5,900","19,100","57,700","57,700"
18,Net Income From Continuing Ops,"539,200","417,000","142,900","188,900"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,"9,200","51,300"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"542,300","416,900","152,800","240,200"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"542,300","416,900","152,800","240,200"
