,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"11,287,588","7,544,405","8,704,302","16,693,477"
2,Cost of Revenue,"5,264,211","3,883,094","4,563,739","6,660,449"
3,Gross Profit,"6,023,377","3,661,311","4,140,563","10,033,028"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"434,467","352,815","366,594","402,010"
7,Non Recurring,-,-,-,-
8,Others,"524,834","449,318","359,820","-76,709"
9,Total Operating Expenses,"10,217,850","8,919,254","15,381,583","11,959,244"
10,Operating Income or Loss,"1,069,738","-1,374,849","-6,677,281","4,734,233"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-408,556","-182,656","-244,275","261,082"
13,Earnings Before Interest and Taxes,"1,069,738","-1,374,849","-6,677,281","4,734,233"
14,Interest Expense,"-274,372","-281,681","-237,393","-201,458"
15,Income Before Tax,"661,182","-1,557,505","-6,921,556","4,995,315"
16,Income Tax Expense,"-1,921,397","-460,819","-2,397,041","2,079,828"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,582,579","-1,096,686","-4,524,515","2,915,487"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,582,579","-1,096,686","-4,524,515","2,915,487"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,582,579","-1,096,686","-4,524,515","2,915,487"
