,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"1,969,058","1,775,423","1,601,892","1,485,807"
2,Cost of Revenue,"871,676","799,987","711,622","669,691"
3,Gross Profit,"1,097,382","975,436","890,270","816,116"
4,Operating Expenses,,,,
5,Research Development,"109,182","101,122","99,681","98,263"
6,Selling General and Administrative,"575,172","521,847","482,465","448,098"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"1,556,030","1,422,956","1,293,768","1,216,052"
10,Operating Income or Loss,"413,028","352,467","308,124","269,755"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-31,971","-30,621","-34,983","-23,200"
13,Earnings Before Interest and Taxes,"413,028","352,467","308,124","269,755"
14,Interest Expense,"-37,225","-32,049","-29,239","-15,429"
15,Income Before Tax,"381,057","321,846","273,141","246,555"
16,Income Tax Expense,"117,788","99,792","81,006","64,604"
17,Minority Interest,264,139,130,73
18,Net Income From Continuing Ops,"263,269","222,054","192,135","181,951"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"263,144","222,045","192,078","181,906"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"263,144","222,045","192,078","181,906"
