,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"11,433,900","11,907,700","11,076,900","9,429,300"
2,Cost of Revenue,"6,861,900","6,931,500","6,078,400","5,047,100"
3,Gross Profit,"4,572,000","4,976,200","4,998,500","4,382,200"
4,Operating Expenses,,,,
5,Research Development,"568,700","657,200","697,800","651,600"
6,Selling General and Administrative,"2,292,800","2,430,400","2,351,400","1,923,500"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"9,723,400","10,019,100","9,127,600","7,622,200"
10,Operating Income or Loss,"1,710,500","1,888,600","1,949,300","1,807,100"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,412,100","-985,600","-1,827,600","-891,700"
13,Earnings Before Interest and Taxes,"1,710,500","1,888,600","1,949,300","1,807,100"
14,Interest Expense,"-542,300","-534,600","-454,800","-339,400"
15,Income Before Tax,"298,400","903,000","121,700","915,400"
16,Income Tax Expense,"-54,100","207,000","-358,300","67,700"
17,Minority Interest,-,-,"1,400","1,400"
18,Net Income From Continuing Ops,"352,500","696,000","480,000","847,700"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"352,500","696,000","480,000","847,600"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"352,500","696,000","480,000","847,600"
