,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,741,020","2,614,580","2,418,823","2,229,063"
2,Cost of Revenue,"707,978","669,083","635,502","613,324"
3,Gross Profit,"2,033,042","1,945,497","1,783,321","1,615,739"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"82,182","82,256","83,577","71,459"
7,Non Recurring,-,-,-,-
8,Others,700,"1,400","1,100","1,100"
9,Total Operating Expenses,"1,245,386","1,186,053","1,146,187","1,121,897"
10,Operating Income or Loss,"1,495,634","1,428,527","1,272,636","1,107,166"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-47,169","31,912","45,053","42,789"
13,Earnings Before Interest and Taxes,"1,495,634","1,428,527","1,272,636","1,107,166"
14,Interest Expense,"-12,690","-4,210",-610,"-6,781"
15,Income Before Tax,"1,448,465","1,460,439","1,317,689","1,149,955"
16,Income Tax Expense,-,-,-,-
17,Minority Interest,"24,360","29,744","26,997","26,375"
18,Net Income From Continuing Ops,"1,448,465","1,460,439","1,317,689","1,149,955"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,442,217","1,453,576","1,311,244","1,144,204"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,171,609","1,183,879","1,053,050","908,176"
