,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,-,"1,800,434","1,662,167","1,557,067"
2,Cost of Revenue,-,"941,658","895,046","803,506"
3,Gross Profit,-,"858,776","767,121","753,561"
4,Operating Expenses,,,,
5,Research Development,-,"170,735","147,537","132,892"
6,Selling General and Administrative,-,"373,867","322,435","313,544"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,-,"1,486,260","1,365,018","1,249,942"
10,Operating Income or Loss,-,"314,174","297,149","307,125"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,-,"-35,109","-21,192","-1,679"
13,Earnings Before Interest and Taxes,-,"314,174","297,149","307,125"
14,Interest Expense,-,"-16,804","-18,071","-14,086"
15,Income Before Tax,-,"279,065","275,957","305,446"
16,Income Tax Expense,-,"171,842","109,331","63,760"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,-,"107,223","166,626","241,686"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,-,"107,223","166,626","241,686"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,-,"107,223","166,626","241,686"
