,0,1,2,3,4
0,Revenue,2/3/2018,1/28/2017,1/30/2016,1/31/2015
1,Total Revenue,"22,245,500","20,719,200","15,498,400","8,602,200"
2,Cost of Revenue,"13,874,900","13,041,600","9,699,400","5,029,900"
3,Gross Profit,"8,370,600","7,677,600","5,799,000","3,572,300"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"6,347,400","5,969,100","4,565,400","2,502,100"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"20,240,800","19,010,700","14,264,800","7,532,000"
10,Operating Income or Loss,"2,004,700","1,708,500","1,233,600","1,070,200"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-300,700","-379,100","-785,400","-116,000"
13,Earnings Before Interest and Taxes,"2,004,700","1,708,500","1,233,600","1,070,200"
14,Interest Expense,"-292,000","-372,900","-428,100","-80,100"
15,Income Before Tax,"1,704,000","1,329,400","448,200","954,200"
16,Income Tax Expense,"-10,300","433,200","165,800","355,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,714,300","896,200","282,400","599,200"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,714,300","896,200","282,400","599,200"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,714,300","896,200","282,400","599,200"
