,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"1,767,000","1,472,000","1,557,000","2,288,000"
2,Cost of Revenue,"581,000","559,000","548,000","605,000"
3,Gross Profit,"1,186,000","913,000","1,009,000","1,683,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"198,000","185,000","218,000","222,000"
7,Non Recurring,-,-,-,-
8,Others,"51,000","192,000","-254,000","-594,000"
9,Total Operating Expenses,"1,297,000","1,508,000","1,428,000","1,103,000"
10,Operating Income or Loss,"470,000","-36,000","129,000","1,185,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-84,000","-1,172,000","-5,076,000","-153,000"
13,Earnings Before Interest and Taxes,"470,000","-36,000","129,000","1,185,000"
14,Interest Expense,"-89,000","-103,000","-131,000","-147,000"
15,Income Before Tax,"386,000","-1,208,000","-4,947,000","1,032,000"
16,Income Tax Expense,"-41,000","22,000","-1,585,000","382,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"427,000","-1,230,000","-3,362,000","650,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,"250,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"427,000","-1,230,000","-3,362,000","900,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"427,000","-1,230,000","-3,362,000","900,000"
