,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"4,633,880","4,242,830","4,183,197","3,775,685"
2,Cost of Revenue,"2,433,017","2,146,891","1,930,108","1,733,183"
3,Gross Profit,"2,200,863","2,095,939","2,253,089","2,042,502"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"126,383","122,008","155,241","147,416"
7,Non Recurring,-,-,-,-
8,Others,"-10,805","-10,805","-10,805","-10,805"
9,Total Operating Expenses,"3,499,054","3,190,619","2,986,591","2,706,839"
10,Operating Income or Loss,"1,134,826","1,052,211","1,196,606","1,068,846"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-296,402","-491,470","-133,664","-173,846"
13,Earnings Before Interest and Taxes,"1,134,826","1,052,211","1,196,606","1,068,846"
14,Interest Expense,"-526,592","-484,622","-521,345","-492,169"
15,Income Before Tax,"838,424","560,741","1,062,942","895,000"
16,Income Tax Expense,"8,674","20,128","-19,128","6,451"
17,Minority Interest,"1,378,311","877,499","873,512","768,408"
18,Net Income From Continuing Ops,"829,750","540,613","1,082,070","888,549"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"804,954","522,774","1,077,803","883,750"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"758,250","463,595","1,012,397","818,344"
