,0,1,2,3,4
0,Revenue,6/30/2018,6/30/2017,6/30/2016,6/30/2015
1,Total Revenue,"13,683,000","11,824,000","11,262,000","10,780,000"
2,Cost of Revenue,"2,826,000","2,405,000","2,181,000","2,100,000"
3,Gross Profit,"10,857,000","9,419,000","9,081,000","8,680,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"8,599,000","7,511,000","7,330,000","7,074,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"11,425,000","9,916,000","9,511,000","9,174,000"
10,Operating Income or Loss,"2,258,000","1,908,000","1,751,000","1,606,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-278,000","-291,000","-196,000","-45,000"
13,Earnings Before Interest and Taxes,"2,258,000","1,908,000","1,751,000","1,606,000"
14,Interest Expense,"-128,000","-103,000","-71,000","-60,000"
15,Income Before Tax,"1,980,000","1,617,000","1,555,000","1,561,000"
16,Income Tax Expense,"863,000","361,000","434,000","467,000"
17,Minority Interest,"22,000","18,000","15,000","11,100"
18,Net Income From Continuing Ops,"1,117,000","1,256,000","1,121,000","1,094,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,108,000","1,249,000","1,115,000","1,089,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,108,000","1,249,000","1,115,000","1,089,000"
