,0,1,2,3,4
0,Revenue,5/31/2018,5/31/2017,5/31/2016,5/31/2015
1,Total Revenue,"39,831,000","37,728,000","37,047,000","38,226,000"
2,Cost of Revenue,"8,081,000","7,469,000","7,479,000","7,532,000"
3,Gross Profit,"31,750,000","30,259,000","29,568,000","30,694,000"
4,Operating Expenses,,,,
5,Research Development,"6,091,000","6,159,000","5,787,000","5,524,000"
6,Selling General and Administrative,"9,720,000","9,373,000","9,039,000","8,732,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"25,512,000","24,452,000","23,943,000","23,937,000"
10,Operating Income or Loss,"14,319,000","13,276,000","13,104,000","14,289,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,428,000","-1,759,000","-1,662,000","-1,455,000"
13,Earnings Before Interest and Taxes,"14,319,000","13,276,000","13,104,000","14,289,000"
14,Interest Expense,"-2,025,000","-1,798,000","-1,467,000","-1,143,000"
15,Income Before Tax,"12,891,000","11,517,000","11,442,000","12,834,000"
16,Income Tax Expense,"9,066,000","2,182,000","2,541,000","2,896,000"
17,Minority Interest,"498,000","386,000","501,000","435,000"
18,Net Income From Continuing Ops,"3,825,000","9,335,000","8,901,000","9,938,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"3,825,000","9,335,000","8,901,000","9,938,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"3,825,000","9,335,000","8,901,000","9,938,000"
