,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"17,534,493","14,983,788","11,855,602","11,339,304"
2,Cost of Revenue,"10,115,931","8,147,653","5,932,851","5,779,691"
3,Gross Profit,"7,418,562","6,836,135","5,922,751","5,559,613"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"5,033,780","4,654,215","4,076,117","3,885,668"
7,Non Recurring,-,-,-,-
8,Others,"176,297","15,443","42,932","31,071"
9,Total Operating Expenses,"15,644,120","13,024,075","10,077,304","9,724,667"
10,Operating Income or Loss,"1,890,373","1,959,713","1,778,298","1,614,637"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-530,723","-431,494","-183,065","-65,671"
13,Earnings Before Interest and Taxes,"1,890,373","1,959,713","1,778,298","1,614,637"
14,Interest Expense,"-366,734","-263,471","-154,088","-61,791"
15,Income Before Tax,"1,359,650","1,528,219","1,595,233","1,548,966"
16,Income Tax Expense,"250,904","-285,583","462,530","495,117"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,108,746","1,813,802","1,132,703","1,053,849"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,"-41,540","-41,540","-41,540"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,108,746","1,772,262","1,132,703","1,053,849"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,108,746","1,772,262","1,132,703","1,053,849"
