,0,1,2,3,4
0,Revenue,3/30/2018,3/31/2017,4/1/2016,4/3/2015
1,Total Revenue,"4,834,000","4,019,000","3,600,000","3,956,000"
2,Cost of Revenue,"1,032,000","829,000","615,000","727,000"
3,Gross Profit,"3,802,000","3,190,000","2,985,000","3,229,000"
4,Operating Expenses,,,,
5,Research Development,"956,000","823,000","748,000","812,000"
6,Selling General and Administrative,"2,167,000","2,017,000","1,587,000","2,012,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,375,000","3,816,000","3,007,000","3,638,000"
10,Operating Income or Loss,"459,000","203,000","593,000","318,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-22,000","-465,000","-201,000","-217,000"
13,Earnings Before Interest and Taxes,"459,000","203,000","593,000","318,000"
14,Interest Expense,"-256,000","-208,000","-75,000","-78,000"
15,Income Before Tax,"437,000","-262,000","392,000","101,000"
16,Income Tax Expense,"-690,000","-26,000","1,213,000","-8,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"1,127,000","-236,000","-821,000","109,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"11,000","130,000","3,309,000","769,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,138,000","-106,000","2,488,000","878,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,138,000","-106,000","2,488,000","878,000"
