,0,1,2,3,4
0,Revenue,1/31/2018,1/31/2017,1/31/2016,1/31/2015
1,Total Revenue,"4,169,800","4,001,800","4,104,900","4,249,900"
2,Cost of Revenue,"1,565,100","1,511,500","1,613,600","1,712,700"
3,Gross Profit,"2,604,700","2,490,300","2,491,300","2,537,200"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"1,810,200","1,743,700","1,722,400","1,645,800"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"3,375,300","3,255,200","3,336,000","3,358,500"
10,Operating Income or Loss,"794,500","746,600","768,900","891,400"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-34,000","-70,000","-59,000","-153,900"
13,Earnings Before Interest and Taxes,"794,500","746,600","768,900","891,400"
14,Interest Expense,"-42,000","-46,000","-49,000","-62,900"
15,Income Before Tax,"760,500","676,600","709,900","737,500"
16,Income Tax Expense,"390,400","230,500","246,000","253,300"
17,Minority Interest,"14,800","14,900","18,100","15,600"
18,Net Income From Continuing Ops,"370,100","446,100","463,900","484,200"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"370,100","446,100","463,900","484,200"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"370,100","446,100","463,900","484,200"
