,0,1,2,3,4
0,Revenue,3/31/2018,4/1/2017,4/2/2016,3/28/2015
1,Total Revenue,"2,539,004","2,349,330","2,213,881","2,377,344"
2,Cost of Revenue,"756,368","708,216","671,907","708,823"
3,Gross Profit,"1,782,636","1,641,114","1,541,974","1,668,521"
4,Operating Expenses,,,,
5,Research Development,"639,750","601,443","533,891","525,745"
6,Selling General and Administrative,"362,329","335,150","331,652","353,670"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"1,760,599","1,649,936","1,544,000","1,597,775"
10,Operating Income or Loss,"778,405","699,394","669,881","779,569"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-27,994","-8,314","-33,056","-39,493"
13,Earnings Before Interest and Taxes,"778,405","699,394","669,881","779,569"
14,Interest Expense,"-45,837","-53,953","-55,456","-55,431"
15,Income Before Tax,"750,411","691,080","636,825","740,076"
16,Income Tax Expense,"238,030","68,568","85,958","91,860"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"512,381","622,512","550,867","648,216"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"512,381","622,512","550,867","648,216"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"512,381","622,512","550,867","648,216"
