,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"84,664,000","85,989,000","84,541,000","83,690,000"
2,Cost of Revenue,-,-,-,-
3,Gross Profit,"84,664,000","85,989,000","84,541,000","83,690,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"40,547,000","40,422,000","38,826,000","36,514,000"
7,Non Recurring,-,-,-,-
8,Others,"13,411,000","12,051,000","11,235,000","11,316,000"
9,Total Operating Expenses,"53,958,000","52,473,000","50,061,000","47,830,000"
10,Operating Income or Loss,"30,706,000","33,516,000","34,480,000","35,860,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-2,168,000","-6,139,000","-2,360,000","-2,219,000"
13,Earnings Before Interest and Taxes,-,-,-,-
14,Interest Expense,-,-,-,-
15,Income Before Tax,"28,538,000","27,377,000","32,120,000","33,641,000"
16,Income Tax Expense,"5,662,000","4,917,000","10,075,000","10,365,000"
17,Minority Interest,"900,000","1,143,000","916,000","893,000"
18,Net Income From Continuing Ops,"22,876,000","22,460,000","22,045,000","23,276,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"22,393,000","22,183,000","21,938,000","22,894,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"20,689,000","20,554,000","20,373,000","21,470,000"
