,0,1,2,3,4
0,Revenue,12/30/2018,12/31/2017,1/1/2017,1/3/2016
1,Total Revenue,"2,777,996","2,256,982","2,115,517","2,104,823"
2,Cost of Revenue,"1,437,057","1,177,040","1,100,760","1,133,317"
3,Gross Profit,"1,340,939","1,079,942","1,014,757","971,506"
4,Operating Expenses,,,,
5,Research Development,"193,998","139,464","124,184","112,539"
6,Selling General and Administrative,"787,473","620,457","584,588","585,700"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"2,399,256","1,936,961","1,809,532","1,831,556"
10,Operating Income or Loss,"378,740","320,021","305,985","273,267"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-121,057","-23,303","-61,917","-64,460"
13,Earnings Before Interest and Taxes,"378,740","320,021","305,985","273,267"
14,Interest Expense,"-66,976","-43,940","-41,528","-37,997"
15,Income Before Tax,"257,683","296,718","244,068","208,807"
16,Income Tax Expense,"20,208","139,828","28,362","20,022"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"237,475","156,890","215,706","188,785"
19,Non-recurring Events,,,,
20,Discontinued Operations,452,"135,743","18,593","23,640"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"237,927","292,633","234,299","212,425"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"237,927","292,633","234,299","212,425"
