,0,1,2,3,4
0,Revenue,12/31/2018,12/31/2017,12/31/2016,12/31/2015
1,Total Revenue,"10,746,000","9,927,000","9,298,000","8,592,000"
2,Cost of Revenue,"2,382,000","2,221,000","2,004,000","1,771,000"
3,Gross Profit,"8,364,000","7,706,000","7,294,000","6,821,000"
4,Operating Expenses,,,,
5,Research Development,"1,285,000","1,224,000","1,114,000","923,000"
6,Selling General and Administrative,"4,436,000","3,908,000","3,590,000","3,389,000"
7,Non Recurring,-,-,-,-
8,Others,"286,000","272,000","231,000","271,000"
9,Total Operating Expenses,"8,438,000","7,663,000","6,973,000","6,395,000"
10,Operating Income or Loss,"2,308,000","2,264,000","2,325,000","2,197,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"410,000","11,000","1,326,000","209,000"
13,Earnings Before Interest and Taxes,"2,308,000","2,264,000","2,325,000","2,197,000"
14,Interest Expense,"-326,000","-292,000","-225,000","-144,000"
15,Income Before Tax,"2,718,000","2,275,000","3,651,000","2,406,000"
16,Income Tax Expense,"190,000","3,288,000","-3,634,000","459,000"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"2,528,000","-1,013,000","7,285,000","1,947,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"2,000","-4,000","-19,000","-222,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"2,530,000","-1,017,000","7,266,000","1,725,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"2,530,000","-1,017,000","7,266,000","1,725,000"
