,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"49,553,000","51,209,000","58,239,000","63,587,000"
2,Cost of Revenue,"37,852,000","40,663,000","40,312,000","38,964,000"
3,Gross Profit,"11,701,000","10,546,000","17,927,000","24,623,000"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"8,796,000","10,292,000","12,178,000","12,592,000"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"46,648,000","50,955,000","52,490,000","51,556,000"
10,Operating Income or Loss,"2,905,000","254,000","5,749,000","12,031,000"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"-1,439,000","-328,000","-2,468,000","-1,530,000"
13,Earnings Before Interest and Taxes,"2,905,000","254,000","5,749,000","12,031,000"
14,Interest Expense,"-1,168,000","-1,260,000","-1,281,000","-1,718,000"
15,Income Before Tax,"1,466,000","-74,000","3,281,000","10,501,000"
16,Income Tax Expense,"7,526,000","185,000","1,059,000","2,927,000"
17,Minority Interest,"537,000","558,000","552,000","374,000"
18,Net Income From Continuing Ops,"-6,060,000","-259,000","2,222,000","7,574,000"
19,Non-recurring Events,,,,
20,Discontinued Operations,"4,000","-90,000","-90,000","-50,000"
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"-6,084,000","-849,000","2,196,000","7,529,000"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"-6,084,000","-849,000","2,196,000","7,529,000"
