,0,1,2,3,4
0,Revenue,12/31/2017,12/31/2016,12/31/2015,12/31/2014
1,Total Revenue,"2,866,701","2,739,442","2,356,336","1,895,075"
2,Cost of Revenue,"724,664","697,376","652,604","545,719"
3,Gross Profit,"2,142,037","2,042,066","1,703,732","1,349,356"
4,Operating Expenses,,,,
5,Research Development,-,-,-,-
6,Selling General and Administrative,"231,059","222,067","217,227","229,332"
7,Non Recurring,-,-,-,-
8,Others,"12,205","14,329","41,998","23,467"
9,Total Operating Expenses,"1,847,068","1,864,757","1,792,202","1,440,979"
10,Operating Income or Loss,"1,019,633","874,685","564,134","454,096"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"795,935","472,419","384,471","259,532"
13,Earnings Before Interest and Taxes,"1,019,633","874,685","564,134","454,096"
14,Interest Expense,"-274,486","-303,146","-301,363","-308,885"
15,Income Before Tax,"1,815,568","1,347,104","948,605","713,628"
16,Income Tax Expense,"54,609","54,564","23,090","-25,656"
17,Minority Interest,"3,074,583","3,467,059","3,752,901","1,208,090"
18,Net Income From Continuing Ops,"1,760,959","1,292,540","925,515","739,284"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"1,652,325","1,209,932","869,439","636,183"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"1,641,931","1,203,218","862,788","622,235"
