,0,1,2,3,4
0,Revenue,12/29/2018,12/30/2017,12/31/2016,1/2/2016
1,Total Revenue,"5,366,325","5,142,272","4,796,473","4,352,465"
2,Cost of Revenue,"937,348","854,091","779,116","677,979"
3,Gross Profit,"4,428,977","4,288,181","4,017,357","3,674,486"
4,Operating Expenses,,,,
5,Research Development,"683,663","605,046","551,418","539,799"
6,Selling General and Administrative,"2,883,165","2,632,088","2,428,380","2,170,024"
7,Non Recurring,-,-,-,-
8,Others,-,-,-,-
9,Total Operating Expenses,"4,591,540","4,181,801","3,849,460","3,479,329"
10,Operating Income or Loss,"774,785","960,471","947,013","873,136"
11,Income from Continuing Operations,,,,
12,Total Other Income/Expenses Net,"26,066","6,658","-28,579","-91,756"
13,Earnings Before Interest and Taxes,"774,785","960,471","947,013","873,136"
14,Interest Expense,"-7,987","-8,012","-4,479","-11,820"
15,Income Before Tax,"800,851","967,129","918,434","781,380"
16,Income Tax Expense,"170,792","100,151","281,950","242,018"
17,Minority Interest,-,-,-,-
18,Net Income From Continuing Ops,"630,059","866,978","636,484","539,362"
19,Non-recurring Events,,,,
20,Discontinued Operations,-,-,-,-
21,Extraordinary Items,-,-,-,-
22,Effect Of Accounting Changes,-,-,-,-
23,Other Items,-,-,-,-
24,Net Income,,,,
25,Net Income,"630,059","866,978","636,484","539,362"
26,Preferred Stock And Other Adjustments,-,-,-,-
27,Net Income Applicable To Common Shares,"630,059","866,978","636,484","539,362"
