,assoc,values
0,they buy,prudential plc increased stake ipg photonics corp ipgp 264.14 based latest 2018q4 regulatory filing sec .
1,they buy,"prudential plc bought 141,317 shares company stock rose 8.86 market ."
2,they buy,stock increased 0.06 0.11 last trading session reaching 173.8 .
3,they sell,"gm advisory group inc sold 2,775 shares company stock declined 1.52 stock markets rallied ."
4,they buy,stock increased 1.95 2.68 last trading session reaching 139.92 .
5,they buy,historical dis news 08/03/2018 disney shareholders endorse ceo robert iger compensation plans 03/05/2018 funtastic entered agreement thinkway toys distribution toys entertainment products relating disney pixar toy story license 08/05/2018 yahoo finance exclusive comcast prepares all-cash bid gate-crash disney-fox deal 16/05/2018 disney considers letting pixar co-founder john lasseter return wsj citing 08/03/2018 bob iger loses symbolic disney shareholder vote pay 17/05/2018 disney cruise line debuts diverse lineup ltineraries home ports fall 2019 24/05/2018 orlando bus jrnl exclusive unicorp reveals new images video 1b disney-area o-town west video 06/04/2018 btig greenfield says disney really wants sky video 24/05/2018 comcast disney fight fox entertainment prize 15/03/2018 sky plc skyb.l entered confidentiality agreement dated 15 march 2018 twenty-first century fox inc. walt disney investors sentiment increased 0.9 2018 q4 .
6,they sell,improved 56 investors sold ipgp shares 130 reduced holdings .
7,they buy,"jackson square limited liability invested 0.32 460,057 shares ."
8,they buy,glenmede trust co na invested 0 portfolio ipg photonics corporation nasdaq ipgp .
9,they buy,washington-based cornerstone advsr invested 0 ipg photonics corporation nasdaq ipgp .
10,they buy,moreover mackay shields ltd 0 invested ipg photonics corporation nasdaq ipgp .
11,they buy,ima wealth inc invested 16 shares 0 stock .
12,they buy,"jpmorgan chase invested 18,889 shares ."
13,they buy,moreover pictet north america advsrs 0.06 invested ipg photonics corporation nasdaq ipgp .
14,they sell,number large investors also recently bought sold shares ipgp .
15,they buy,"fundsmith llp bought new position shares ipg photonics fourth quarter worth 19,159,000 ."
16,they buy,bank america raised shares ipg photonics neutral rating buy rating set 200.00 price target stock research report monday .
17,they buy,bidaskclub raised shares ipg photonics hold rating buy rating research report thursday april 18th .
18,they sell,zacks investment research lowered shares ipg photonics hold rating strong sell rating research note friday february 15th .
19,they buy,finally benchmark reiterated buy rating set 165.00 price objective shares ipg photonics research note thursday february 14th .
20,they sell,one analyst rated stock sell rating six issued hold rating nine issued buy rating company stock .
21,they buy,ipg photonics presently consensus rating buy consensus price target 182.36 .
22,they sell,sell-side analysts predict ipg photonics co. post 5.79 earnings per share current fiscal year .
23,they sell,blackstone group lp bx shares sold acg wealth malaga cove capital llc increased stake ipg photonics corp ipgp 282.42 based latest 2018q4 regulatory filing sec .
24,they buy,"malaga cove capital llc bought 4,160 shares company stock rose 8.86 market ."
25,they buy,2.19 01/05/2018 ipg photonics 1q eps 1.93 01/05/2018 ipg photonics 1q net 106.3m investors sentiment increased 0.9 q4 2018.
26,they sell,increased 56 investors sold ipgp shares 130 reduced holdings .
27,they buy,thornburg investment mngmt invested 0 ipg photonics corporation nasdaq ipgp .
28,they buy,first republic inv invested 0 ipg photonics corporation nasdaq ipgp .
29,they buy,"voloridge invest mgmt lc 0.23 invested ipg photonics corporation nasdaq ipgp 44,477 shares ."
30,they buy,private advisor gru lc invested 0.02 portfolio ipg photonics corporation nasdaq ipgp .
31,they buy,"5,988 held brown capital mgmt ltd co. state alaska department revenue invested 0.02 10,307 shares ."
32,they sell,massive sell-off following third-quarter results laser maker ipg photonics nasdaq ipgp came roaring back year-end report .
33,they buy,decline mean best stock buy right shares seem active trading volume day reported 377834 contracts far session .
34,they buy,analysts bofa/merrill raised recommendation shares ipgp neutral buy opinion released april 22. needham analysts handed buy recommendation ipg photonics corporation nasdaq ipgp stock lifted target price shares flash note issued investors february 13. target price raised 157 170 .
35,they buy,analysts cascend securities made first call equity buy recommendation according research note dated back february 11 .
36,they sell,analysts rate stock buy strong buy rated sell .
37,they sell,8 analysts rated ipg photonics corporation nasdaq ipgp buy strong buy single analyst advised investors desist purchasing stock sell already company stock .
38,they sell,"pictet north america advisors sa sold 4,300 shares company stock rose 8.86 market ."
39,they buy,"also increased holding vanguard intl equity index f vgk 100,087 shares quarter total 360,971 shares risen stake intercontinental exchange nyse ice ."
40,they buy,investors sentiment increased 0.9 q4 2018.
41,they sell,improved 56 investors sold ipgp shares 130 reduced holdings .
42,they buy,fred alger management invested 0.01 ipg photonics corporation nasdaq ipgp .
43,they buy,"bnp paribas arbitrage sa 0 invested ipg photonics corporation nasdaq ipgp 4,789 shares ."
44,they buy,fifth third savings bank invested 0 ipg photonics corporation nasdaq ipgp .
45,they buy,ledyard national bank invested 35 shares 0 stock .
46,they buy,"nomura asset mgmt ltd invested 5,160 shares ."
47,they buy,notable recent allegiant travel company nasdaq algt news published seekingalpha.com released allegiant travel algt q3 2018 results earnings call transcript seeking alpha october 24 2018 also seekingalpha.com article deutsche bank gloomy airline sector seeking alpha published march 01 2019 zacks.com published value investors buy allegiant travel algt stock zacks.com december 28 2018. interesting news allegiant travel company nasdaq algt released bizjournals.com article new flights land phoenix-mesa gateway airport phoenix business journal published august 23 2018 well bizjournals.com news article titled cvg carriers rank among airlines comes passenger complaints cincinnati business courier publication date february 19 2019 .
48,they buy,investors sentiment increased 1.36 q4 2018.
49,they sell,increased 21 investors sold algt shares 48 reduced holdings .
50,they buy,"sei comm invested 0 1,000 shares ."
51,they buy,moreover eaton vance management 0 invested allegiant travel company nasdaq algt .
52,they buy,"mason street advsrs lc invested 0.01 3,965 shares ."
53,they buy,"rk asset mgmt limited liability co invested 36,957 shares ."
54,they buy,"pinebridge investments lp invested 0.01 3,070 shares ."
55,they buy,landscape capital management ltd co invested 0.07 portfolio allegiant travel company nasdaq algt .
56,they sell,"tudor investment corp et al sold 13,415 shares company stock rose 8.86 market ."
57,they buy,stock increased 1.65 2.94 last trading session reaching 181.63 .
58,they buy,15 hs management partners llc increased stake darden restaurants inc dri 4.92 based latest 2018q4 regulatory filing sec .
59,they buy,"hs management partners llc bought 23,625 shares company stock declined 1.90 stock markets rallied ."
60,they buy,stock increased 0.79 0.93 last trading session reaching 117.93 .
61,they buy,investors sentiment increased 0.9 2018 q4 .
62,they sell,improved 56 investors sold ipgp shares 130 reduced holdings .
63,they buy,"moreover riverhead cap mngmt lc 0.02 invested ipg photonics corporation nasdaq ipgp 4,692 shares ."
64,they buy,proshare advsr limited liability invested 0 ipg photonics corporation nasdaq ipgp .
65,they buy,victory cap mgmt incorporated invested 0 ipg photonics corporation nasdaq ipgp .
66,they buy,"aqr cap mgmt ltd liability com invested 11,373 shares ."
67,they buy,employees retirement systems texas invested 0.11 ipg photonics corporation nasdaq ipgp .
68,they buy,parkside fin bank trust trust invested 0 12 shares .
69,they buy,"also increased holding orasure technologies incorporated nasdaq osur 38,882 shares quarter total 73,098 shares risen stake b ."
70,they buy,ipg photonics corp nasdaq ipgp institutional sentiment increased 0.9 2018 q4 .
71,they sell,ratio improved 167 investment professionals increased opened new equity positions 186 decreased sold equity positions ipg photonics corp. investment professionals partner database 33.88 million shares 29.56 million shares 2018q3 .
72,they sell,also number investment professionals holding ipg photonics corp top 10 equity positions decreased 4 2 decrease 2. sold 56 reduced 130 increased 108 new position 59 .
73,they buy,stock increased 0.85 1.53 last trading session reaching 180.22 .
74,they buy,"moreover motley fool asset management llc 1.92 invested company 121,500 shares ."
75,they buy,virginia-based motley fool wealth management llc invested 1.62 stock .
76,they sell,2 wall street analysts rating ipg photonics 0 give buy 0 sell rating 2 recommend hold .
77,they sell,bidaskclub upgraded ipg photonics strong sell rating sell rating research report thursday january 10th .
78,they buy,benchmark reiterated buy rating issued 165.00 price objective shares ipg photonics research report thursday february 14th .
79,they buy,issued buy rating 160.00 price objective company .
80,they buy,finally needham company llc reiterated buy rating issued 170.00 price objective 157.00 shares ipg photonics research report wednesday february 13th .
81,they sell,one investment analyst rated stock sell rating six given hold rating nine assigned buy rating company .
82,they buy,company currently average rating buy consensus target price 182.36 .
83,they buy,lyft lyft earns buy rating analysts jefferies financial group ipgp stock showed previous change 0.99 open 173.26 close 175.48. reached intraday high 175.81 low 172.11 .
