,stock,price,net_change,volume,H/L,52 H/L,pe,market_cap
0,WalgreensBootsAllianceInc.WBANASDAQ-GS,$67.22,0.24,3940359,$67.70$66.96,$83.89$59.07,15.71,66659789
1,CVSHealthCorporationCVSNYSE,$64.89,1.11,4803569,$65.24$63.70,$84$60.14,9.94,65970159
2,ExpressScriptsHoldingCompanyESRXNASDAQ-GS,$77.51,-0.47,2770945,$78.80$77.48,$85.07$55.80,9.44,43538995
3,EnvisionHealthcareCorporationEVHCNYSE,$44.39,0.07,1201080,$44.47$44.28,$58.05$23.77,41.88,5376872
4,ChemedCorp.CHENYSE,$316.04,-3.35,110145,$320.1698$315.135,$335.99$186.09,27.94,5058536
5,TeladocInc.TDOCNYSE,$62.50,-2.75,1095153,$66.25$62.25,$71.30$27.30,NE,3895938
6,AmedisysIncAMEDNASDAQ-GS,$108.23,2.22,647581,$109.36$106.54,$108.9195$45.60,52.03,3436411
7,LHCGroupLHCGNASDAQ-GS,$92.84,-0.74,431436,$94.25$91.57,$93.97$57.78,37.74,3048309
8,RiteAidCorporationRADNYSE,$1.84,-0.06,8759200,$1.92$1.83,$2.80$1.38,1.57,1962923
9,DiplomatPharmacyInc.DPLONYSE,$21.21,0.10,853083,$21.4517$21,$28.74$14.50,151.5,1572361
10,U.S.PhysicalTherapyInc.USPHNYSE,$114.75,-1.40,62511,$117.85$113.30,$116.65$56.50,66.33,1453883
11,iKangHealthcareGroupInc.KANGNASDAQ-GS,$20.64,-0.26,552803,$20.88$20.58,$21.0128$12.69,NE,1380610
12,AddusHomeCareCorporationADUSNASDAQ-GS,$69.10,-0.50,97870,$69.85$67.4092,$69.80$30.95,56.64,807917
13,PetMedExpressInc.PETSNASDAQ-GS,$38.15,0.46,408362,$38.34$37.60,$57.80$31.8101,19.17,785928
14,CivitasSolutionsInc.CIVINYSE,$16.60,-0.20,55307,$16.90$16.55,$19.90$11.15,184.44,608772
15,BioScripInc.BIOSNASDAQ-GS,$2.70,-0.03,481873,$2.78$2.61,$3.39$1.80,NE,345470
16,ConcordMedicalServicesHoldingsLimitedCCMNYSE,$3.79,0.07,4851,$3.8188$3.4773,$4.29$2.4643,NE,72832
